name,price,production_year,kilometeres_driven,fuel_capacity,fuel_type,thumbnail
Chevrolet Camaro 3.6 V6 Coupe 2LT,128 000 PLN,2017,72 000 km,3 564 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhlemF6ejBvMXVqbTMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.ZLhZcXR046jfwFJEBxWJKA6uFzGWx3dX-XJHqPPA22g/image;s=320x240
Chevrolet Camaro 6.2 V8 Coupe,139 900 PLN,2017,192 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjltYmp1emw2Z3NzdTItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.q4zk7U-GGfvGVFCoLplh739X7u7YHA5XYVM8g7FZLmI/image;s=320x240
Chevrolet Camaro,97 500 PLN,2018,36 800 km,1 998 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im50OXExa25ldmY1MzItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.PHy4kjjzADUolY7vXBMTFhdYLkk81C79DBPGeLw9fI8/image;s=320x240
Chevrolet Camaro 6.2 V8 Coupe,95 000 PLN,2014,77 600 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVvZGp3MjNrOWQzbS1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.X1fu2CchJOKo_S1dkIS8I0RLDrTShVtSj_YmBghyg7U/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,79 900 PLN,2014,62 750 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijl0dDJ5ZHlpNDJvbTMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.o4kMQxVjsJ9YasKPkmclvP5pLmXQg4mZgkyplFyFEz4/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,86 900 PLN,2014,102 000 km,3 564 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVhdGNvZDR4bXY0aS1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.8MaoX54pp7TAAwOEjj5Se54aK_PZWH4ssKYn6fKh20s/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,160 000 PLN,2017,41 600 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjA1N3Axdjc3bGVqYTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.XDbXQOXGC67JCVg51Ps5vt5uvULNnuwpbCHgsnMlIRA/image;s=320x240
Chevrolet Camaro,249 000 PLN,2018,40 300 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFpdnpoem8zZ3I3di1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Dckq0Hc9RFHSSpP4oo4wC5CswNsql97cgp8pmZgPXoM/image;s=320x240
Chevrolet Camaro,98 000 PLN,2016,52 180 km,1 998 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJsem05dDV0cjAwcDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.lbLnL5Pjo60jE26X_J7v5WYgD9Q0-btTEA113Ixe9m8/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,147 800 PLN,2016,45 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJ5M3Znb202ZnllZDItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.ZSQ9MkuzELaMaPiJ6NCwK1JpsrW-oM1D0edB414P-ew/image;s=320x240
